source,raw_institute,user_identifier,stand_institute
1-marinespecies.org_users_2023-11-07,Finding Sanctuary Partnership,64e3a484-3f21-425d-8202-5380b5d74e5d,
1-marinespecies.org_users_2023-11-07,"School of Computer Science, University of Manchester, and National Centre for Text Mining (NaCTeM), Manchester Interdisciplinary Biocentre",1b897505-f3f2-47b6-83e7-ad54bbcf5810,
1-marinespecies.org_users_2023-11-07,Juan J. González,b1a01e51-15c8-4a00-83f0-0cddf19b56bb,
1-marinespecies.org_users_2023-11-07,"The Department of Agriculture, Environment and Rural Affairs ",023c66b5-1e21-4a61-bf2f-33e05e0a2127,
1-marinespecies.org_users_2023-11-07,"Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research, and Helmholtz Institute for Functional Marine Biodiversity at University Oldenburg",427c1867-10bc-4d17-b03b-884a3baf39b3,
1-marinespecies.org_users_2023-11-07,Personal application,a7cf9bfc-c739-4bbb-97c9-f3b69bb1dd5f,
1-marinespecies.org_users_2023-11-07,Northeastern Asia Biodiversity Institute,eec83d7a-ab83-4838-b28d-cb21c216710e,
1-marinespecies.org_users_2023-11-07,"Pristine Seas, National Geographic",253ec1a5-b473-46ce-8516-08d2434717f9,
1-marinespecies.org_users_2023-11-07,Institute of Biology,8fcb3081-e58c-4ef7-ad84-5be79116acc3,
1-marinespecies.org_users_2023-11-07,"Mississippi State University, NOAA, and the Northern Gulf Institute",a2a825d4-b365-40a2-9b9c-838c2ed1da5b,
1-marinespecies.org_users_2023-11-07,"Department of Biodiversity, Conservtion and Attractions",46bf613b-314a-439c-ae67-20ed3cd05b50,
1-marinespecies.org_users_2023-11-07,Interoceanmetal Joint Organization,b8b70168-3305-4827-84db-6e46545943e3,
1-marinespecies.org_users_2023-11-07,National Academy of Marine Research,3d2b295f-3ccc-40b7-9b01-6d0d7acbea9c,
1-marinespecies.org_users_2023-11-07,National Research Institute of Fisheries Science,61199786-2115-41d3-9dca-634b612abba0,
1-marinespecies.org_users_2023-11-07,"Universidad EAFIT, Universidad de Antioquia",43317ec1-743c-4a89-be92-a95e2ec518b7,
1-marinespecies.org_users_2023-11-07,AI LAB,e7584806-ea50-4fee-ac32-c875cdc5b467,
1-marinespecies.org_users_2023-11-07,National Research Council - University of Salento - LifeWatch Italy,32e534cf-b2f1-45c3-b265-d3d7ead502f7,
1-marinespecies.org_users_2023-11-07,Esox Biologics Ltd,f4697590-d372-429f-8abd-620c7b328f33,
